Analysis summary: Added only maxpool(2,2) after each convolutional layer. Training data min loss across all convolutional layer sizes dropped by 4X over the previous experiment round without it - 34% down to 7.5%. Max accuracy was approximately the same (94%). Using dropout cut the data size at all stages and reduced run time by 3X from the previous experiment - 2 hours down to 40 minutes.

Experiment list remains the same as earlier 20180706 experiment:

1. Experiment with changing from wide rows to a series of layers (similar to RGB layers for video) for derivative and d2 - possible now without logfbank columns.
2. Try implementing dropout to reduce overfitting. Some numbers from examples show 50% dropout after first conv layer, 25% after second, but this opens a new optimization dimension.
3. Increase the number of samples by tagging more raw data.
4. Increase the number of samples by adding noise to existing samples. Implement in a deterministic way to ensure comparable results.
5. Reopen more training dimensions. The arrays related to non-conv sizes are commented out in an attempt tp get convergence first (now achieved with normalization).


{'training_loss': 0.0006708339567443258, 'training_acc': 1.0, 'testdata_loss': 0.5937527507543564, 'testdata_acc': 0.84, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 5, 'numFullyConnectedPerceptronsLastLayer': 20}
{'training_loss': 0.000559437198956546, 'training_acc': 1.0, 'testdata_loss': 0.1948134145885706, 'testdata_acc': 0.96, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 10, 'numFullyConnectedPerceptronsLastLayer': 20}
{'training_loss': 0.0004650937240129631, 'training_acc': 1.0, 'testdata_loss': 0.19130882628262044, 'testdata_acc': 0.96, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 20, 'numFullyConnectedPerceptronsLastLayer': 20}
{'training_loss': 0.000403397450817896, 'training_acc': 1.0, 'testdata_loss': 0.30841520614922047, 'testdata_acc': 0.9, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 40, 'numFullyConnectedPerceptronsLastLayer': 20}
{'training_loss': 0.0004232506258535738, 'training_acc': 1.0, 'testdata_loss': 0.1226013004872948, 'testdata_acc': 0.94, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 80, 'numFullyConnectedPerceptronsLastLayer': 20}
{'training_loss': 0.0003607805542598822, 'training_acc': 1.0, 'testdata_loss': 0.20828595984727144, 'testdata_acc': 0.94, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 160, 'numFullyConnectedPerceptronsLastLayer': 20}
{'training_loss': 0.0005266842095328397, 'training_acc': 1.0, 'testdata_loss': 0.23642502546310426, 'testdata_acc': 0.96, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 10, 'conv1KernelSize': 5, 'numConv2Filters': 5, 'numFullyConnectedPerceptronsLastLayer': 20}
{'training_loss': 0.0005409365277859921, 'training_acc': 1.0, 'testdata_loss': 0.2856330745154992, 'testdata_acc': 0.9, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 10, 'conv1KernelSize': 5, 'numConv2Filters': 10, 'numFullyConnectedPerceptronsLastLayer': 20}
{'training_loss': 0.00041410753068416137, 'training_acc': 1.0, 'testdata_loss': 0.27318638319149613, 'testdata_acc': 0.92, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 10, 'conv1KernelSize': 5, 'numConv2Filters': 20, 'numFullyConnectedPerceptronsLastLayer': 20}
{'training_loss': 0.0003317901996380993, 'training_acc': 1.0, 'testdata_loss': 0.3252914237277582, 'testdata_acc': 0.86, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 10, 'conv1KernelSize': 5, 'numConv2Filters': 40, 'numFullyConnectedPerceptronsLastLayer': 20}
{'training_loss': 0.0004227628131813713, 'training_acc': 1.0, 'testdata_loss': 0.15613061957061292, 'testdata_acc': 0.94, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 10, 'conv1KernelSize': 5, 'numConv2Filters': 80, 'numFullyConnectedPerceptronsLastLayer': 20}
