Analysis summary: Experiment with various levels of Dropout only between the main fully connected layer and the output layer. Dropout tried for 0.25, 0.5 at that layer to see if we can reduce overfitting in the previous experiments, while maintaining the existing convergence of training results toward lower loss / higher accuracy.

In general the addition of Dropout greatly increased the loss on training data, while usually producing a similar loss on the test data. The single cherry-picked best result appears to be just a lucky set of circumstances instead of a systematic result.

Possible follow-ups:

- Apply Dropout to convolutional layers instead of or in addition to the fully connected layer.
- Increase number of epochs to let Dropout based network converge better before trying against test data.
- Increase amount of training data through original tagged samples or multiplying existing samples through algorithmic variation (noise, etc.)


({'training_loss': 0.9412153793528756, 'training_acc': 0.5614973255657257, 'testdata_loss': 0.6787066347194168, 'testdata_acc': 0.8490566040547389, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 160, 'conv1KernelSize': 5, 'numConv2Filters': 160, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0, 'fulyConnectedDropout': 0.5, 'numInstruments': 5, 'numTrainingSamples': 187, 'numTestSamples': 53},)
{'training_loss': 0.054455775643056405, 'training_acc': 0.983957219251337, 'testdata_loss': 0.5698419044602592, 'testdata_acc': 0.9245283030114084, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 5, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0, 'fulyConnectedDropout': 0.25, 'numInstruments': 5, 'numTrainingSamples': 187, 'numTestSamples': 53}
{'training_loss': 0.3368585072657004, 'training_acc': 0.8877005347593583, 'testdata_loss': 0.32126863947454487, 'testdata_acc': 0.9056603796077225, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 5, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0, 'fulyConnectedDropout': 0.5, 'numInstruments': 5, 'numTrainingSamples': 187, 'numTestSamples': 53}
{'training_loss': 0.022288031795779293, 'training_acc': 0.9946524064171123, 'testdata_loss': 0.16047332497348762, 'testdata_acc': 0.9433962264150944, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 10, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0, 'fulyConnectedDropout': 0.25, 'numInstruments': 5, 'numTrainingSamples': 187, 'numTestSamples': 53}
{'training_loss': 0.20090040267709106, 'training_acc': 0.8770053472748415, 'testdata_loss': 0.2875145966151975, 'testdata_acc': 0.9056603796077225, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 10, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0, 'fulyConnectedDropout': 0.5, 'numInstruments': 5, 'numTrainingSamples': 187, 'numTestSamples': 53}
{'training_loss': 0.158876462310072, 'training_acc': 0.9358288770053476, 'testdata_loss': 0.21983884556113548, 'testdata_acc': 0.8867924539548047, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 20, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0, 'fulyConnectedDropout': 0.25, 'numInstruments': 5, 'numTrainingSamples': 187, 'numTestSamples': 53}
{'training_loss': 0.2171774532068222, 'training_acc': 0.9037433171017285, 'testdata_loss': 0.17479650366981075, 'testdata_acc': 0.9433962275397103, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 20, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0, 'fulyConnectedDropout': 0.5, 'numInstruments': 5, 'numTrainingSamples': 187, 'numTestSamples': 53}
{'training_loss': 0.05022421895550006, 'training_acc': 0.983957219251337, 'testdata_loss': 0.2769401990017801, 'testdata_acc': 0.8679245305511186, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 40, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0, 'fulyConnectedDropout': 0.25, 'numInstruments': 5, 'numTrainingSamples': 187, 'numTestSamples': 53}
{'training_loss': 0.23609608802247176, 'training_acc': 0.8716577536919538, 'testdata_loss': 0.0650387558172334, 'testdata_acc': 0.9811320754716981, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 40, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0, 'fulyConnectedDropout': 0.5, 'numInstruments': 5, 'numTrainingSamples': 187, 'numTestSamples': 53}
{'training_loss': 0.1843221158107972, 'training_acc': 0.93048128342246, 'testdata_loss': 0.08236988085620808, 'testdata_acc': 0.9433962275397103, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 80, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0, 'fulyConnectedDropout': 0.25, 'numInstruments': 5, 'numTrainingSamples': 187, 'numTestSamples': 53}
{'training_loss': 0.2148628650820829, 'training_acc': 0.9144385042675038, 'testdata_loss': 0.18482931942309974, 'testdata_acc': 0.9056603796077225, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 80, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0, 'fulyConnectedDropout': 0.5, 'numInstruments': 5, 'numTrainingSamples': 187, 'numTestSamples': 53}
{'training_loss': 0.08415196989887061, 'training_acc': 0.9786096256684492, 'testdata_loss': 0.39883978791394326, 'testdata_acc': 0.9056603779207986, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 160, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0, 'fulyConnectedDropout': 0.25, 'numInstruments': 5, 'numTrainingSamples': 187, 'numTestSamples': 53}
