Analysis summary: Primary change in this round was to test 25% and 50% dropout in the 1st convolutional layer. Result: Lack of convergence generally, high loss and low accuracy across the board, poor final results. Dropout a failure for the conv1 layer.


('Start:', datetime.datetime(2018, 7, 7, 20, 3, 8, 506733))
('Max, min MFCC rows across all instruments: ', 96, 12)
('Num instruments:', 5)
({'training_loss': 0.12478509040287462, 'training_acc': 0.97, 'testdata_loss': 1.1728351789264706, 'testdata_acc': 0.825, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 5, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.25, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40},)
({'training_loss': 0.2457624466717243, 'training_acc': 0.93, 'testdata_loss': 0.3905132308602333, 'testdata_acc': 0.875, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 5, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.5, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40},)
({'training_loss': 0.05324160384654533, 'training_acc': 0.98, 'testdata_loss': 0.6680851578712463, 'testdata_acc': 0.875, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 10, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.25, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40},)
({'training_loss': 0.2240403613448143, 'training_acc': 0.92, 'testdata_loss': 0.6914859771728515, 'testdata_acc': 0.8, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 10, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.5, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40},)
({'training_loss': 0.009326372565701603, 'training_acc': 1.0, 'testdata_loss': 0.6693844020366668, 'testdata_acc': 0.925, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 20, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.25, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40},)
({'training_loss': 0.15095080882310868, 'training_acc': 0.955, 'testdata_loss': 0.7276299059391022, 'testdata_acc': 0.7, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 20, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.5, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40},)
({'training_loss': 0.0015316883655032143, 'training_acc': 1.0, 'testdata_loss': 0.4220987245440483, 'testdata_acc': 0.9, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 40, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.25, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40},)
({'training_loss': 0.21916228607296945, 'training_acc': 0.925, 'testdata_loss': 0.3695689931511879, 'testdata_acc': 0.875, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 40, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.5, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40},)
({'training_loss': 0.0013761721391347236, 'training_acc': 1.0, 'testdata_loss': 0.6019963324069977, 'testdata_acc': 0.925, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 80, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.25, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40},)
({'training_loss': 0.018612522855401038, 'training_acc': 0.995, 'testdata_loss': 0.31463443525135515, 'testdata_acc': 0.9, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 80, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.5, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40},)
({'training_loss': 0.007976468419074081, 'training_acc': 1.0, 'testdata_loss': 1.0446003556251526, 'testdata_acc': 0.75, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 160, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.25, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40},)
