Analysis summary: Primary change in this round was to test 25% and 50% dropout in the 2nd convolutional layer. Result: Lack of convergence generally, high loss and low accuracy across the board, poor final results, though less severe overall than Dropout for conv1.


('Start:', datetime.datetime(2018, 7, 7, 20, 5, 50, 711030))
('Max, min MFCC rows across all instruments: ', 96, 12)
('Num instruments:', 5)
({'training_loss': 0.1927773953260233, 'training_acc': 0.9375, 'testdata_loss': 0.7517103950182596, 'testdata_acc': 0.8125, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 5, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.25, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
({'training_loss': 0.09520284708317679, 'training_acc': 0.96875, 'testdata_loss': 0.3397258867820104, 'testdata_acc': 0.9166666666666666, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 5, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.5, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
({'training_loss': 0.08171959254347409, 'training_acc': 0.96875, 'testdata_loss': 0.5568316727876663, 'testdata_acc': 0.8958333333333334, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 10, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.25, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
({'training_loss': 0.3560359875361125, 'training_acc': 0.890625, 'testdata_loss': 0.3177203933397929, 'testdata_acc': 0.8958333333333334, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 10, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.5, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
({'training_loss': 9.821964343388876, 'training_acc': 0.390625, 'testdata_loss': 8.059047738711039, 'testdata_acc': 0.5, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 20, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.25, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
({'training_loss': 0.05442833016665342, 'training_acc': 0.984375, 'testdata_loss': 0.1250913937886556, 'testdata_acc': 0.9166666666666666, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 20, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.5, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
({'training_loss': 0.0007528269161412027, 'training_acc': 1.0, 'testdata_loss': 0.5780541859567165, 'testdata_acc': 0.8958333333333334, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 40, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.25, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
({'training_loss': 0.043833608292819314, 'training_acc': 0.9739583333333334, 'testdata_loss': 0.5474355064701134, 'testdata_acc': 0.9166666666666666, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 40, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.5, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
({'training_loss': 0.000727348803896651, 'training_acc': 1.0, 'testdata_loss': 0.48346512764692307, 'testdata_acc': 0.9166666666666666, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 80, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.25, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
({'training_loss': 0.02432506096374709, 'training_acc': 0.984375, 'testdata_loss': 0.3846813303728898, 'testdata_acc': 0.9375, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 80, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.5, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
({'training_loss': 0.00026747984884423204, 'training_acc': 1.0, 'testdata_loss': 0.4120575388272603, 'testdata_acc': 0.8958333333333334, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 160, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.25, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
