Results analysis: In this round we jack up the 32 epochs used thus far to 100, to see if more exposure to training data helps with accuracy.

Result shows somewhat worse performance over previous fully connected Dropout model (0.9% -> 1.1% loss) at a large cost in run time.

Dropping this change for now.


{'training_loss': 0.6634576258205233, 'training_acc': 0.7, 'testdata_loss': 0.26348666902982965, 'testdata_acc': 0.8867924528301887, 'batchSize': 16, 'epochs': 100, 'maxpoolsize': (2, 2), 'numConv1Filters': 160, 'conv1KernelSize': 5, 'numConv2Filters': 320, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0, 'fullyConnectedDropout': 0.5, 'numInstruments': 5, 'numTrainingSamples': 210, 'numTestSamples': 53}
{'training_loss': 0.21388190871193297, 'training_acc': 0.9238095238095239, 'testdata_loss': 0.12400012477388922, 'testdata_acc': 0.9433962264150944, 'batchSize': 16, 'epochs': 100, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 10, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0, 'fullyConnectedDropout': 0.5, 'numInstruments': 5, 'numTrainingSamples': 210, 'numTestSamples': 53}
{'training_loss': 0.17730082188560725, 'training_acc': 0.9380952380952381, 'testdata_loss': 0.06427656079163085, 'testdata_acc': 0.9811320754716981, 'batchSize': 16, 'epochs': 100, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 20, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0, 'fullyConnectedDropout': 0.5, 'numInstruments': 5, 'numTrainingSamples': 210, 'numTestSamples': 53}
{'training_loss': 0.2618449968682225, 'training_acc': 0.9, 'testdata_loss': 0.025339008748250187, 'testdata_acc': 0.9811320754716981, 'batchSize': 16, 'epochs': 100, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 40, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0, 'fullyConnectedDropout': 0.5, 'numInstruments': 5, 'numTrainingSamples': 210, 'numTestSamples': 53}
{'training_loss': 0.08681986133257548, 'training_acc': 0.9523809523809523, 'testdata_loss': 0.032361076483419245, 'testdata_acc': 0.9811320754716981, 'batchSize': 16, 'epochs': 100, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 80, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0, 'fullyConnectedDropout': 0.5, 'numInstruments': 5, 'numTrainingSamples': 210, 'numTestSamples': 53}
{'training_loss': 0.13521684328360217, 'training_acc': 0.9333333333333333, 'testdata_loss': 0.04367101819799194, 'testdata_acc': 0.9811320754716981, 'batchSize': 16, 'epochs': 100, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 160, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0, 'fullyConnectedDropout': 0.5, 'numInstruments': 5, 'numTrainingSamples': 210, 'numTestSamples': 53}
{'training_loss': 0.1712544681848071, 'training_acc': 0.9380952380952381, 'testdata_loss': 0.01982105681496971, 'testdata_acc': 0.9811320754716981, 'batchSize': 16, 'epochs': 100, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 320, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0, 'fullyConnectedDropout': 0.5, 'numInstruments': 5, 'numTrainingSamples': 210, 'numTestSamples': 53}
{'training_loss': 0.09427757259672077, 'training_acc': 0.9571428571428572, 'testdata_loss': 0.1854110297852389, 'testdata_acc': 0.9622641509433962, 'batchSize': 16, 'epochs': 100, 'maxpoolsize': (2, 2), 'numConv1Filters': 10, 'conv1KernelSize': 5, 'numConv2Filters': 10, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0, 'fullyConnectedDropout': 0.5, 'numInstruments': 5, 'numTrainingSamples': 210, 'numTestSamples': 53}
{'training_loss': 0.09795538453562765, 'training_acc': 0.9571428571428572, 'testdata_loss': 0.041431672010078746, 'testdata_acc': 0.9811320754716981, 'batchSize': 16, 'epochs': 100, 'maxpoolsize': (2, 2), 'numConv1Filters': 10, 'conv1KernelSize': 5, 'numConv2Filters': 20, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0, 'fullyConnectedDropout': 0.5, 'numInstruments': 5, 'numTrainingSamples': 210, 'numTestSamples': 53}
{'training_loss': 0.08812649674669262, 'training_acc': 0.9809523809523809, 'testdata_loss': 0.08558345470181557, 'testdata_acc': 0.9811320754716981, 'batchSize': 16, 'epochs': 100, 'maxpoolsize': (2, 2), 'numConv1Filters': 10, 'conv1KernelSize': 5, 'numConv2Filters': 40, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0, 'fullyConnectedDropout': 0.5, 'numInstruments': 5, 'numTrainingSamples': 210, 'numTestSamples': 53}
{'training_loss': 0.06201376532248798, 'training_acc': 0.9761904761904762, 'testdata_loss': 0.04205196052086803, 'testdata_acc': 0.9622641509433962, 'batchSize': 16, 'epochs': 100, 'maxpoolsize': (2, 2), 'numConv1Filters': 10, 'conv1KernelSize': 5, 'numConv2Filters': 80, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0, 'fullyConnectedDropout': 0.5, 'numInstruments': 5, 'numTrainingSamples': 210, 'numTestSamples': 53}
{'training_loss': 0.3349003975013537, 'training_acc': 0.8523809523809524, 'testdata_loss': 0.051327025412388566, 'testdata_acc': 0.9811320754716981, 'batchSize': 16, 'epochs': 100, 'maxpoolsize': (2, 2), 'numConv1Filters': 10, 'conv1KernelSize': 5, 'numConv2Filters': 160, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0, 'fullyConnectedDropout': 0.5, 'numInstruments': 5, 'numTrainingSamples': 210, 'numTestSamples': 53}
{'training_loss': 0.16783592750628804, 'training_acc': 0.919047619047619, 'testdata_loss': 0.0205342838505529, 'testdata_acc': 1.0, 'batchSize': 16, 'epochs': 100, 'maxpoolsize': (2, 2), 'numConv1Filters': 10, 'conv1KernelSize': 5, 'numConv2Filters': 320, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0, 'fullyConnectedDropout': 0.5, 'numInstruments': 5, 'numTrainingSamples': 210, 'numTestSamples': 53}
{'training_loss': 0.10211590925852458, 'training_acc': 0.9714285714285714, 'testdata_loss': 0.07026164822789999, 'testdata_acc': 0.9622641509433962, 'batchSize': 16, 'epochs': 100, 'maxpoolsize': (2, 2), 'numConv1Filters': 20, 'conv1KernelSize': 5, 'numConv2Filters': 10, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0, 'fullyConnectedDropout': 0.5, 'numInstruments': 5, 'numTrainingSamples': 210, 'numTestSamples': 53}
